id;titulo;tipo;empresa;empresaIniciais;empresaUsuarioId;cidade;uf;local;modalidade;prazo;inicio;faixa;areas;exigencias;resumo;escopo;situacao;publicadaEm;desfecho;contratadoId
2026-129;Laudo de estrutura de concreto;Vaga fixa;Construtora Alfa;CA;emp-ca;Itacoatiara;AM;Itacoatiara, AM;Híbrido;01/10/2026;Dezembro de 2026;Até R$ 5 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""ART de execução"", ""ART de projeto""]";Vistoria e laudo de estrutura com fissuras em galpão de 1.800 m².;Vistoria técnica, ensaios não destrutivos e laudo de estrutura de concreto com fissuras em galpão de 1.800 m².;Aberta;2026-09-04 10:00;;
2026-130;Compatibilização de projetos em BIM;Serviço;Norte Projetos;NP;emp-np;Parintins;AM;Parintins, AM;Presencial;22/11/2026;Novembro de 2026;R$ 20 mil a R$ 50 mil;"[""BIM""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante""]";Compatibilização de hospital de 9 pavimentos.;Compatibilização de projetos arquitetônico, estrutural e de instalações de hospital com 9 pavimentos.;Encerrando;2026-09-16 15:00;;
2026-131;Drenagem urbana;Parceria;Prefeitura de Iranduba;PI;emp-pi;Iranduba;AM;Iranduba, AM;Presencial;14/11/2026;Dezembro de 2026;R$ 20 mil a R$ 50 mil;"[""Hidráulica""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante"", ""Anuidade em dia""]";Projeto de drenagem de 40 km de vias.;Projeto de microdrenagem e dimensionamento de galerias para 40 km de vias urbanas.;Aberta;2026-09-16 10:00;;
2026-132;Laudo de estrutura de concreto;Serviço;Prefeitura de Iranduba;PI;emp-pi;Iranduba;AM;Iranduba, AM;Remoto;15/11/2026;Imediato;R$ 20 mil a R$ 50 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""ART de execução""]";Vistoria e laudo de estrutura com fissuras em galpão de 2.400 m².;Vistoria técnica, ensaios não destrutivos e laudo de estrutura de concreto com fissuras em galpão de 2.400 m².;Aberta;2026-09-03 14:00;;
2026-133;Fiscalização de obra vertical;Parceria;Rio Negro Construções;RC;emp-rn;Manaus;AM;Manaus, AM;Presencial;22/10/2026;Imediato;Acima de R$ 50 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""ART de projeto""]";Acompanhamento semanal de obra de 6 pavimentos.;Fiscalização técnica semanal com relatório fotográfico e medições de obra residencial de 6 pavimentos.;Em análise;2026-09-19 19:00;;
2026-134;Orçamento de obra pública;Serviço;Rio Negro Construções;RC;emp-rn;Manaus;AM;Manaus, AM;Híbrido;04/10/2026;Imediato;Acima de R$ 50 mil;"[""BIM""]";"[""Registro ativo no Crea"", ""ART de projeto""]";Orçamento com base no SINAPI para escola de 2.400 m².;Orçamento analítico com composições SINAPI e cronograma físico-financeiro para escola de 2.400 m².;Aberta;2026-09-20 10:00;;
2026-135;Reforço de cobertura metálica;Parceria;Rio Negro Construções;RC;emp-rn;Manaus;AM;Manaus, AM;Presencial;05/10/2026;Janeiro de 2027;R$ 20 mil a R$ 50 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""Anuidade em dia"", ""ART de execução""]";Reforço e recuperação de cobertura metálica com 3.600 m².;Diagnóstico, projeto de reforço e acompanhamento da recuperação de cobertura metálica com 3.600 m².;Encerrando;2026-09-12 08:00;;
2026-136;Fiscalização de obra vertical;Projeto;Amazônia Estruturas Metálicas;AM;emp-ae;Manaus;AM;Manaus, AM;Híbrido;29/11/2026;Outubro de 2026;Acima de R$ 50 mil;"[""Estrutural""]";"[""Registro ativo no Crea""]";Acompanhamento semanal de obra de 8 pavimentos.;Fiscalização técnica semanal com relatório fotográfico e medições de obra residencial de 8 pavimentos.;Aberta;2026-09-18 15:00;;
2026-137;Usina solar fotovoltaica;Projeto;Amazônia Estruturas Metálicas;AM;emp-ae;Manaus;AM;Manaus, AM;Presencial;04/10/2026;Imediato;Até R$ 5 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""Anuidade em dia"", ""CAT em obra semelhante""]";Usina de 120 kWp em cobertura de galpão.;Projeto executivo e homologação junto à concessionária de usina fotovoltaica de 120 kWp.;Aberta;2026-09-16 12:00;;
2026-138;Projeto elétrico industrial;Serviço;Solimões Energia;SE;emp-se;Manacapuru;AM;Manacapuru, AM;Presencial;09/11/2026;Dezembro de 2026;Até R$ 5 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""Anuidade em dia"", ""ART de execução""]";Galpão de 6.000 m² com subestação própria.;Projeto elétrico completo para galpão de 6.000 m², incluindo subestação, SPDA e memorial de cálculo.;Em análise;2026-09-21 10:00;;
2026-139;Usina solar fotovoltaica;Serviço;Solimões Energia;SE;emp-se;Manacapuru;AM;Manacapuru, AM;Híbrido;09/10/2026;Janeiro de 2027;A combinar;"[""Elétrica""]";"[""Registro ativo no Crea"", ""Anuidade em dia"", ""ART de execução""]";Usina de 12 kWp em cobertura de galpão.;Projeto executivo e homologação junto à concessionária de usina fotovoltaica de 12 kWp.;Aberta;2026-09-01 15:00;;
2026-140;SPDA e aterramento;Serviço;Solimões Energia;SE;emp-se;Manacapuru;AM;Manacapuru, AM;Presencial;14/10/2026;Dezembro de 2026;Acima de R$ 50 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de projeto""]";Projeto de SPDA para centro de distribuição de 6.000 m².;Projeto e laudo de SPDA e malha de aterramento para centro de distribuição de 6.000 m².;Aberta;2026-09-13 09:00;;
2026-141;Orçamento de obra pública;Serviço;Tarumã Incorporadora;TI;emp-ti;Manaus;AM;Manaus, AM;Remoto;02/11/2026;Dezembro de 2026;R$ 20 mil a R$ 50 mil;"[""BIM"", ""Mecânica""]";"[""Registro ativo no Crea"", ""ART de execução""]";Orçamento com base no SINAPI para escola de 6.000 m².;Orçamento analítico com composições SINAPI e cronograma físico-financeiro para escola de 6.000 m².;Aberta;2026-09-06 12:00;;
2026-142;Fiscalização de obra de saneamento;Projeto;Encontro das Águas Saneamento;ES;emp-ea;Manaus;AM;Manaus, AM;Presencial;05/10/2026;Imediato;R$ 5 mil a R$ 20 mil;"[""Hidráulica"", ""Ambiental""]";"[""Registro ativo no Crea"", ""ART de projeto"", ""Anuidade em dia""]";Acompanhamento mensal de obra de saneamento.;Fiscalização mensal de obra de rede coletora de esgoto, com emissão de relatórios e medições.;Encerrando;2026-09-03 12:00;;
2026-143;Compatibilização de projetos em BIM;Vaga fixa;Encontro das Águas Saneamento;ES;emp-ea;Manaus;AM;Manaus, AM;Remoto;18/10/2026;Outubro de 2026;R$ 5 mil a R$ 20 mil;"[""BIM""]";"[""Registro ativo no Crea""]";Compatibilização de hospital de 6 pavimentos.;Compatibilização de projetos arquitetônico, estrutural e de instalações de hospital com 6 pavimentos.;Em análise;2026-09-03 13:00;;
2026-144;Plano de gerenciamento de resíduos;Parceria;Encontro das Águas Saneamento;ES;emp-ea;Manaus;AM;Manaus, AM;Presencial;25/10/2026;Imediato;R$ 20 mil a R$ 50 mil;"[""Ambiental""]";"[""Registro ativo no Crea""]";PGRS de obra com 4 meses de duração.;Elaboração e acompanhamento do plano de gerenciamento de resíduos de obra com 4 meses de duração.;Aberta;2026-09-03 08:00;;
2026-145;Drenagem urbana;Parceria;Madeira Infraestrutura;MI;emp-mi;Humaitá;AM;Humaitá, AM;Híbrido;21/10/2026;Novembro de 2026;Acima de R$ 50 mil;"[""Hidráulica"", ""Estrutural""]";"[""Registro ativo no Crea"", ""ART de projeto""]";Projeto de drenagem de 75 km de vias.;Projeto de microdrenagem e dimensionamento de galerias para 75 km de vias urbanas.;Aberta;2026-09-06 10:00;;
2026-146;Projeto estrutural de edifício residencial;Projeto;Ponta Negra Empreendimentos;PE;emp-pn;Manaus;AM;Manaus, AM;Híbrido;05/10/2026;Dezembro de 2026;Acima de R$ 50 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""Anuidade em dia""]";Edifício de 4 pavimentos em concreto armado.;Projeto estrutural completo de edifício residencial com 4 pavimentos, fundação profunda e memorial de cálculo.;Em análise;2026-09-22 09:00;;
2026-147;Projeto estrutural de edifício residencial;Parceria;Ponta Negra Empreendimentos;PE;emp-pn;Manaus;AM;Manaus, AM;Presencial;26/10/2026;Imediato;A combinar;"[""Estrutural"", ""Hidráulica""]";"[""Registro ativo no Crea""]";Edifício de 8 pavimentos em concreto armado.;Projeto estrutural completo de edifício residencial com 8 pavimentos, fundação profunda e memorial de cálculo.;Encerrando;2026-09-04 14:00;;
2026-148;Recuperação de área degradada;Vaga fixa;Igarapé Consultoria Ambiental;IA;emp-ig;Manaus;AM;Manaus, AM;Presencial;10/11/2026;Dezembro de 2026;Até R$ 5 mil;"[""Ambiental""]";"[""Registro ativo no Crea""]";PRAD para área de 12 hectares.;Plano de recuperação de área degradada de 12 hectares, com cronograma de plantio e monitoramento.;Encerrando;2026-09-05 09:00;;
2026-149;Plano de gerenciamento de resíduos;Vaga fixa;Igarapé Consultoria Ambiental;IA;emp-ig;Manaus;AM;Manaus, AM;Híbrido;29/11/2026;Janeiro de 2027;Acima de R$ 50 mil;"[""Ambiental""]";"[""Registro ativo no Crea""]";PGRS de obra com 9 meses de duração.;Elaboração e acompanhamento do plano de gerenciamento de resíduos de obra com 9 meses de duração.;Aberta;2026-09-08 17:00;;
2026-150;Georreferenciamento rural;Vaga fixa;Igarapé Consultoria Ambiental;IA;emp-ig;Manaus;AM;Manaus, AM;Presencial;29/10/2026;Outubro de 2026;R$ 20 mil a R$ 50 mil;"[""Agronomia"", ""Elétrica""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante""]";Georreferenciamento de imóvel rural de 120 hectares.;Levantamento e georreferenciamento de imóvel rural de 120 hectares para certificação no Incra.;Aberta;2026-09-20 16:00;;
2026-151;Inspeção de vasos de pressão;Projeto;Fluvial Logística do Norte;FN;emp-fl;Itacoatiara;AM;Itacoatiara, AM;Presencial;04/10/2026;Novembro de 2026;A combinar;"[""Mecânica""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante"", ""ART de execução""]";Inspeção NR-13 de 8 vasos de pressão.;Inspeção de segurança conforme NR-13 de 8 vasos de pressão, com prontuário e relatório.;Encerrando;2026-09-21 19:00;;
2026-152;Inspeção de vasos de pressão;Projeto;Fluvial Logística do Norte;FN;emp-fl;Itacoatiara;AM;Itacoatiara, AM;Presencial;16/11/2026;Outubro de 2026;Acima de R$ 50 mil;"[""Mecânica""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante"", ""Anuidade em dia""]";Inspeção NR-13 de 8 vasos de pressão.;Inspeção de segurança conforme NR-13 de 8 vasos de pressão, com prontuário e relatório.;Em análise;2026-09-18 16:00;;
2026-153;Estabilidade de talude;Projeto;AgroVale Amazonas;AA;emp-ag;Presidente Figueiredo;AM;Presidente Figueiredo, AM;Presencial;16/11/2026;Imediato;Acima de R$ 50 mil;"[""Geotecnia""]";"[""Registro ativo no Crea""]";Estudo de talude às margens de rodovia.;Estudo de estabilidade e projeto de contenção de talude com 300 metros de extensão.;Aberta;2026-09-21 12:00;;
2026-154;Fiscalização de obra de saneamento;Parceria;Hospital Cidade Nova;HC;emp-hc;Manaus;AM;Manaus, AM;Presencial;08/10/2026;Janeiro de 2027;A combinar;"[""Hidráulica""]";"[""Registro ativo no Crea"", ""ART de projeto"", ""ART de execução""]";Acompanhamento mensal de obra de saneamento.;Fiscalização mensal de obra de rede coletora de esgoto, com emissão de relatórios e medições.;Aberta;2026-09-10 17:00;;
2026-155;Projeto de climatização;Projeto;Hospital Cidade Nova;HC;emp-hc;Manaus;AM;Manaus, AM;Remoto;10/11/2026;Dezembro de 2026;A combinar;"[""Mecânica"", ""Ambiental""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante"", ""ART de projeto""]";Climatização de 6 salas com controle central.;Projeto de climatização com VRF para 6 salas, incluindo renovação de ar e controle central.;Aberta;2026-09-02 13:00;;
2026-156;Inspeção de vasos de pressão;Serviço;Hospital Cidade Nova;HC;emp-hc;Manaus;AM;Manaus, AM;Presencial;13/10/2026;Outubro de 2026;A combinar;"[""Mecânica""]";"[""Registro ativo no Crea""]";Inspeção NR-13 de 4 vasos de pressão.;Inspeção de segurança conforme NR-13 de 4 vasos de pressão, com prontuário e relatório.;Encerrando;2026-09-16 08:00;;
2026-157;Inspeção de vasos de pressão;Serviço;Climatiza Norte;CN;emp-cf;Manaus;AM;Manaus, AM;Presencial;16/10/2026;Outubro de 2026;R$ 20 mil a R$ 50 mil;"[""Mecânica""]";"[""Registro ativo no Crea"", ""ART de projeto"", ""ART de execução""]";Inspeção NR-13 de 4 vasos de pressão.;Inspeção de segurança conforme NR-13 de 4 vasos de pressão, com prontuário e relatório.;Aberta;2026-09-02 10:00;;
2026-158;SPDA e aterramento;Parceria;Climatiza Norte;CN;emp-cf;Manaus;AM;Manaus, AM;Híbrido;02/10/2026;Janeiro de 2027;Até R$ 5 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante"", ""Anuidade em dia""]";Projeto de SPDA para centro de distribuição de 3.600 m².;Projeto e laudo de SPDA e malha de aterramento para centro de distribuição de 3.600 m².;Em análise;2026-09-06 18:00;;
2026-159;Projeto de climatização;Projeto;Climatiza Norte;CN;emp-cf;Manaus;AM;Manaus, AM;Presencial;09/11/2026;Janeiro de 2027;R$ 5 mil a R$ 20 mil;"[""Mecânica""]";"[""Registro ativo no Crea"", ""ART de execução"", ""Anuidade em dia""]";Climatização de 12 salas com controle central.;Projeto de climatização com VRF para 12 salas, incluindo renovação de ar e controle central.;Aberta;2026-09-03 18:00;;
2026-160;Fiscalização de obra de saneamento;Projeto;Prefeitura de Tefé;PT;emp-pt;Tefé;AM;Tefé, AM;Remoto;23/11/2026;Outubro de 2026;R$ 20 mil a R$ 50 mil;"[""Hidráulica""]";"[""Registro ativo no Crea"", ""Anuidade em dia"", ""CAT em obra semelhante""]";Acompanhamento mensal de obra de saneamento.;Fiscalização mensal de obra de rede coletora de esgoto, com emissão de relatórios e medições.;Em análise;2026-09-13 17:00;;
2026-161;Projeto elétrico industrial;Projeto;Sol da Amazônia Fotovoltaica;SF;emp-sl;Manaus;AM;Manaus, AM;Híbrido;11/11/2026;Outubro de 2026;Acima de R$ 50 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de execução""]";Galpão de 1.800 m² com subestação própria.;Projeto elétrico completo para galpão de 1.800 m², incluindo subestação, SPDA e memorial de cálculo.;Aberta;2026-09-05 08:00;;
2026-162;Projeto elétrico industrial;Projeto;Sol da Amazônia Fotovoltaica;SF;emp-sl;Manaus;AM;Manaus, AM;Híbrido;20/10/2026;Imediato;R$ 20 mil a R$ 50 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de execução""]";Galpão de 3.600 m² com subestação própria.;Projeto elétrico completo para galpão de 3.600 m², incluindo subestação, SPDA e memorial de cálculo.;Encerrando;2026-09-08 15:00;;
2026-163;Estabilidade de talude;Serviço;GeoMapa Levantamentos;GL;emp-gm;Manaus;AM;Manaus, AM;Remoto;11/11/2026;Outubro de 2026;A combinar;"[""Geotecnia""]";"[""Registro ativo no Crea""]";Estudo de talude às margens de rodovia.;Estudo de estabilidade e projeto de contenção de talude com 300 metros de extensão.;Aberta;2026-09-01 11:00;;
2026-164;Usina solar fotovoltaica;Projeto;Condomínio Industrial Aleixo;CA;emp-ci;Manaus;AM;Manaus, AM;Presencial;28/10/2026;Imediato;Até R$ 5 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de projeto"", ""CAT em obra semelhante""]";Usina de 25 kWp em cobertura de galpão.;Projeto executivo e homologação junto à concessionária de usina fotovoltaica de 25 kWp.;Aberta;2026-09-16 12:00;;
2026-165;Estabilidade de talude;Projeto;Condomínio Industrial Aleixo;CA;emp-ci;Manaus;AM;Manaus, AM;Remoto;12/10/2026;Imediato;R$ 20 mil a R$ 50 mil;"[""Geotecnia"", ""Estrutural""]";"[""Registro ativo no Crea"", ""Anuidade em dia"", ""ART de projeto""]";Estudo de talude às margens de rodovia.;Estudo de estabilidade e projeto de contenção de talude com 300 metros de extensão.;Em análise;2026-09-05 14:00;;
2026-166;Laudo de estrutura de concreto;Vaga fixa;Condomínio Industrial Aleixo;CA;emp-ci;Manaus;AM;Manaus, AM;Remoto;21/11/2026;Dezembro de 2026;Até R$ 5 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""Anuidade em dia"", ""ART de projeto""]";Vistoria e laudo de estrutura com fissuras em galpão de 3.600 m².;Vistoria técnica, ensaios não destrutivos e laudo de estrutura de concreto com fissuras em galpão de 3.600 m².;Aberta;2026-09-23 16:00;;
2026-167;Georreferenciamento rural;Projeto;Maués Cooperativa Agrícola;MA;emp-mc;Maués;AM;Maués, AM;Híbrido;27/11/2026;Imediato;A combinar;"[""Agronomia""]";"[""Registro ativo no Crea"", ""ART de execução"", ""Anuidade em dia""]";Georreferenciamento de imóvel rural de 40 hectares.;Levantamento e georreferenciamento de imóvel rural de 40 hectares para certificação no Incra.;Aberta;2026-09-07 18:00;;
2026-168;Georreferenciamento rural;Vaga fixa;Maués Cooperativa Agrícola;MA;emp-mc;Maués;AM;Maués, AM;Remoto;05/10/2026;Novembro de 2026;A combinar;"[""Agronomia""]";"[""Registro ativo no Crea""]";Georreferenciamento de imóvel rural de 25 hectares.;Levantamento e georreferenciamento de imóvel rural de 25 hectares para certificação no Incra.;Aberta;2026-09-19 15:00;;
2026-169;Projeto estrutural de edifício residencial;Serviço;Boa Vista Obras e Serviços;BS;emp-bv;Boa Vista;AM;Boa Vista, AM;Híbrido;16/11/2026;Novembro de 2026;Até R$ 5 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""ART de projeto"", ""CAT em obra semelhante""]";Edifício de 8 pavimentos em concreto armado.;Projeto estrutural completo de edifício residencial com 8 pavimentos, fundação profunda e memorial de cálculo.;Em análise;2026-09-03 16:00;;
2026-170;Reforço de cobertura metálica;Serviço;Boa Vista Obras e Serviços;BS;emp-bv;Boa Vista;AM;Boa Vista, AM;Remoto;06/10/2026;Outubro de 2026;A combinar;"[""Estrutural""]";"[""Registro ativo no Crea""]";Reforço e recuperação de cobertura metálica com 6.000 m².;Diagnóstico, projeto de reforço e acompanhamento da recuperação de cobertura metálica com 6.000 m².;Aberta;2026-09-20 17:00;;
2026-171;Projeto estrutural de edifício residencial;Projeto;Boa Vista Obras e Serviços;BS;emp-bv;Boa Vista;AM;Boa Vista, AM;Remoto;05/10/2026;Outubro de 2026;R$ 5 mil a R$ 20 mil;"[""Estrutural""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante""]";Edifício de 18 pavimentos em concreto armado.;Projeto estrutural completo de edifício residencial com 18 pavimentos, fundação profunda e memorial de cálculo.;Aberta;2026-09-15 12:00;;
2026-172;Fiscalização de obra de saneamento;Parceria;Porto Velho Engenharia;PE;emp-pv;Porto Velho;AM;Porto Velho, AM;Remoto;11/10/2026;Outubro de 2026;R$ 5 mil a R$ 20 mil;"[""Hidráulica""]";"[""Registro ativo no Crea"", ""CAT em obra semelhante"", ""Anuidade em dia""]";Acompanhamento mensal de obra de saneamento.;Fiscalização mensal de obra de rede coletora de esgoto, com emissão de relatórios e medições.;Aberta;2026-09-09 13:00;;
2026-173;Inspeção de vasos de pressão;Projeto;Porto Velho Engenharia;PE;emp-pv;Porto Velho;AM;Porto Velho, AM;Presencial;18/11/2026;Novembro de 2026;R$ 5 mil a R$ 20 mil;"[""Mecânica""]";"[""Registro ativo no Crea""]";Inspeção NR-13 de 18 vasos de pressão.;Inspeção de segurança conforme NR-13 de 18 vasos de pressão, com prontuário e relatório.;Encerrando;2026-09-14 16:00;;
2026-174;Drenagem urbana;Vaga fixa;Porto Velho Engenharia;PE;emp-pv;Porto Velho;AM;Porto Velho, AM;Híbrido;08/10/2026;Imediato;Acima de R$ 50 mil;"[""Hidráulica""]";"[""Registro ativo no Crea"", ""ART de projeto""]";Projeto de drenagem de 12 km de vias.;Projeto de microdrenagem e dimensionamento de galerias para 12 km de vias urbanas.;Em análise;2026-09-10 14:00;;
2026-175;Projeto estrutural de edifício comercial;Projeto;DW Engenharia;DW;u-dw-engenharia;Manaus;AM;Manaus, AM;Presencial;30/11/2026;Novembro de 2026;Acima de R$ 50 mil;"[""Estrutural"", ""BIM""]";"[""Registro ativo no Crea"", ""ART de projeto"", ""Experiência em BIM""]";Projeto estrutural em concreto armado de edifício comercial de 8 pavimentos.;Projeto estrutural completo em concreto armado, com fundações, modelo BIM e compatibilização com as instalações, para edifício comercial de 8 pavimentos no Adrianópolis.;Aberta;2026-09-24 10:00;;
2026-176;Usina solar fotovoltaica em cobertura;Projeto;DW Engenharia;DW;u-dw-engenharia;Manaus;AM;Manaus, AM;Presencial;20/11/2026;Outubro de 2026;R$ 20 mil a R$ 50 mil;"[""Elétrica""]";"[""Registro ativo no Crea"", ""ART de projeto"", ""NR-10""]";Projeto de usina fotovoltaica de 120 kWp na cobertura de um galpão.;Projeto executivo de usina solar fotovoltaica de 120 kWp em cobertura metálica, com estudo de sombreamento, conexão à rede e SPDA.;Aberta;2026-09-25 09:00;;
